Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
006110,KR7006110001,삼아알미늄,KOSPI,,51900,1,1000,1.96,50800,52400,49800,9134,466237350,784907314500,15123455,STK
336370,KR7336370002,솔루스첨단소재,KOSPI,,11080,1,130,1.19,10900,11250,10800,27171,301222680,778008171520,70217344,STK
004490,KR7004490009,세방전지,KOSPI,,55900,2,-1200,-2.1,57000,57000,55600,2026,113807600,774774000000,13860000,STK
003850,KR7003850005,보령,KOSPI,,8980,2,-110,-1.21,8970,9090,8850,5702,51229640,770369118860,85787207,STK
214320,KR7214320004,이노션,KOSPI,,19020,2,-170,-0.89,19210,19210,19000,1385,26370570,760800000000,40000000,STK
079160,KR7079160008,CJ CGV,KOSPI,,4590,1,100,2.23,4490,4640,4490,21347,97696429,760023541890,165582471,STK
064960,KR7064960008,SNT모티브,KOSPI,,28600,2,-200,-0.69,28100,28800,28100,2283,65080950,759051779200,26540272,STK
000370,KR7000370007,한화손해보험,KOSPI,,6490,2,-260,-3.85,6830,6840,6470,77057,506949755,757635558350,116738915,STK
108320,KR7108320003,LX세미콘,KOSPI,,46450,3,0,0.0,45900,47000,45900,7868,366217300,755476735000,16264300,STK
285130,KR7285130001,SK케미칼,KOSPI,,42550,2,-1500,-3.41,44050,44075,42200,4783,206249725,736062493300,17298766,STK
00088K,KR700088K015,한화3우B,KOSPI,,37850,2,-1000,-2.57,38500,38500,37650,3548,134542600,734458091850,19404441,STK
010780,KR7010780005,아이에스동서,KOSPI,,24250,1,750,3.19,23500,24250,22850,6559,155010250,732034168000,30186976,STK
025540,KR7025540006,한국단자,KOSPI,,72000,2,-900,-1.23,72900,72900,72000,826,59799100,728280000000,10115000,STK
079900,KR7079900007,전진건설로봇,KOSPI,,49000,2,-450,-0.91,47650,49100,47650,11805,568411900,715034705000,14592545,STK
114090,KR7114090004,GKL,KOSPI,,11490,1,10,0.09,11500,11540,11280,13084,149649770,710721648300,61855670,STK
00104K,KR700104K010,CJ4우(전환),KOSPI,,164900,2,-1000,-0.6,165900,165900,162800,265,43757300,696951828800,4226512,STK
033240,KR7033240003,자화전자,KOSPI,,32200,1,200,0.63,31400,32900,31400,6507,209989950,695697164400,21605502,STK
005090,KR7005090006,SGC에너지,KOSPI,,48050,2,-350,-0.72,47500,48800,47500,2907,139786000,692368450650,14409333,STK
002350,KR7002350007,넥센타이어,KOSPI,,6950,2,-20,-0.29,6980,6980,6840,8255,57262900,678791745150,97667877,STK
100840,KR7100840008,SNT에너지,KOSPI,,32500,2,-550,-1.66,32400,32900,32200,12610,408717000,672125447500,20680783,STK
069260,KR7069260008,TKG휴켐스,KOSPI,,16060,2,-90,-0.56,16090,16340,15770,10872,173589940,656510123280,40878588,STK
001510,KR7001510007,SK증권,KOSPI,,2800,2,-60,-2.1,2850,2870,2650,570015,1589694450,647626238000,231295085,STK
002020,KR7002020006,코오롱,KOSPI,,49750,2,-2250,-4.33,53300,53700,49000,21955,1113029800,642157080000,12907680,STK
093050,KR7093050003,LF,KOSPI,,21900,2,-100,-0.45,22400,22400,21550,1248,27419850,640356000000,29240000,STK
293940,KR7293940003,신한알파리츠,KOSPI,,5260,2,-30,-0.57,5290,5310,5240,16419,86287990,636145046980,120940123,STK
002960,KR7002960003,한국쉘석유,KOSPI,,488500,1,1000,0.21,486000,489000,483000,97,47114500,635050000000,1300000,STK
001060,KR7001060003,JW중외제약,KOSPI,,27250,1,550,2.06,26850,27700,26550,3206,86589450,634541592500,23285930,STK
001570,KR7001570001,금양,KOSPI,,9900,0,0,0.0,0,0,0,0,0,633275240400,63967196,STK
005880,KR7005880000,대한해운,KOSPI,,1950,2,-33,-1.66,1957,1974,1945,127965,249994668,629357313000,322747340,STK
317450,KR7317450005,명인제약,KOSPI,,42950,2,-550,-1.26,42500,43100,42500,523,22318450,627070000000,14600000,STK
178920,KR7178920005,PI첨단소재,KOSPI,,21300,1,100,0.47,21150,21400,20400,3611,75961500,625502658600,29366322,STK
008060,KR7008060006,대덕,KOSPI,,19870,1,90,0.46,19730,20200,19590,5986,119372380,621674637260,31287098,STK
007700,KR7007700008,F&F홀딩스,KOSPI,,15880,1,50,0.32,16140,16150,15830,652,10384930,621136147960,39114367,STK
